Released,Title,production_budget,domestic_gross,international_gross,worldwide_gross
18-Dec-15,Star Wars Ep. VII: The Force Awakens,306000000.00,936662225.00,1127953592.00,2064615817.00
26-Apr-19,Avengers: Endgame,400000000.00,858373000.00,1939359053.00,2797732053.00
17-Dec-21,Spider-Man: No Way Home,200000000.00,814108407.00,1095933175.00,1910041582.00
18-Dec-09,Avatar,237000000.00,785221649.00,2114162453.00,2899384102.00
27-May-22,Top Gun: Maverick,170000000.00,718732821.00,770000000.00,1488732821.00
16-Feb-18,Black Panther,200000000.00,700059566.00,636434754.00,1336494320.00
27-Apr-18,Avengers: Infinity War,300000000.00,678815482.00,1369544272.00,2048359754.00
19-Dec-97,Titanic,200000000.00,659363944.00,1548622601.00,2207986545.00
12-Jun-15,Jurassic World,215000000.00,652306625.00,1017657016.00,1669963641.00
4-May-12,The Avengers,225000000.00,623357910.00,891742301.00,1515100211.00
15-Dec-17,Star Wars Ep. VIII: The Last Jedi,262000000.00,620181382.00,711453759.00,1331635141.00
15-Jun-18,Incredibles 2,200000000.00,608581744.00,634223615.00,1242805359.00
19-Jul-19,The Lion King,260000000.00,543638043.00,1104095595.00,1647733638.00
18-Jul-08,The Dark Knight,185000000.00,533720947.00,464894842.00,998615789.00
16-Dec-16,Rogue One: A Star Wars Story,200000000.00,533539991.00,521543605.00,1055083596.00
20-Dec-19,Star Wars: The Rise of Skywalker,275000000.00,515202542.00,557565455.00,1072767997.00
17-Mar-17,Beauty and the Beast,160000000.00,504014165.00,764683318.00,1268697483.00
17-Jun-16,Finding Dory,200000000.00,486295561.00,538710564.00,1025006125.00
22-Nov-19,Frozen II,150000000.00,477373578.00,967361913.00,1444735491.00
19-May-99,Star Wars Ep. I: The Phantom Menace,115000000.00,474544677.00,552500000.00,1027044677.00
25-May-77,Star Wars Ep. IV: A New Hope,11000000.00,460998007.00,314400000.00,775398007.00
1-May-15,Avengers: Age of Ultron,365000000.00,459005868.00,936311111.00,1395316979.00
20-Jul-12,The Dark Knight Rises,230000000.00,448139099.00,634089008.00,1082228107.00
19-May-04,Shrek 2,70000000.00,441226247.00,494027731.00,935253978.00
11-Jun-82,E.T. the Extra-Terrestrial,10500000.00,439251124.00,357852418.00,797103542.00
21-Jun-19,Toy Story 4,200000000.00,434038008.00,639026532.00,1073064540.00
8-Mar-19,Captain Marvel,175000000.00,426829839.00,702746255.00,1129576094.00
22-Nov-13,The Hunger Games: Catching Fire,130000000.00,424668047.00,440200000.00,864868047.00
7-Jul-06,Pirates of the Caribbean: Dead Man’…,225000000.00,423315812.00,642863913.00,1066179725.00
15-Jun-94,The Lion King,79300000.00,421785283.00,564408500.00,986193783.00
22-Jun-18,Jurassic World: Fallen Kingdom,170000000.00,417719760.00,890603542.00,1308323302.00
18-Jun-10,Toy Story 3,200000000.00,415004880.00,653874642.00,1068879522.00
11-Nov-22,Black Panther: Wakanda Forever,0.00,413591185.00,357417529.00,771008714.00
2-Jun-17,Wonder Woman,150000000.00,412563408.00,405128358.00,817691766.00
6-May-22,Doctor Strange in the Multiverse of M…,200000000.00,411331607.00,540893379.00,952224986.00
3-May-13,Iron Man 3,200000000.00,408992272.00,806400000.00,1215392272.00
6-May-16,Captain America: Civil War,250000000.00,408084349.00,743815237.00,1151899586.00
23-Mar-12,The Hunger Games,80000000.00,408010692.00,269912687.00,677923379.00
20-Dec-17,Jumanji: Welcome to the Jungle,90000000.00,404508916.00,557123891.00,961632807.00
3-May-02,Spider-Man,139000000.00,403706375.00,418000000.00,821706375.00
11-Jun-93,Jurassic Park,63000000.00,402523348.00,643049687.00,1045573035.00
24-Jun-09,Transformers: Revenge of the Fallen,210000000.00,402111870.00,434407829.00,836519699.00
22-Nov-13,Frozen,150000000.00,400953009.00,860676232.00,1261629241.00
2-Jul-19,Spider-Man: Far From Home,160000000.00,390532085.00,741575437.00,1132107522.00
5-May-17,Guardians of the Galaxy Vol 2,200000000.00,389813101.00,479274862.00,869087963.00
15-Jul-11,Harry Potter and the Deathly Hallows:…,125000000.00,381193157.00,935085104.00,1316278261.00
30-May-03,Finding Nemo,94000000.00,380529370.00,555565482.00,936094852.00
19-May-05,Star Wars Ep. III: Revenge of the Sith,115000000.00,380270577.00,468728300.00,848998877.00
17-Dec-03,The Lord of the Rings: The Return of …,94000000.00,377845905.00,742364991.00,1120210896.00
10-Jun-22,Jurassic World: Dominion,165000000.00,376009080.00,627034199.00,1003043279.00
30-Jun-04,Spider-Man 2,200000000.00,373524485.00,421173072.00,794697557.00
25-Feb-04,The Passion of the Christ,25000000.00,370782930.00,251530705.00,622313635.00
1-Jul-22,Minions: The Rise of Gru,80000000.00,369500210.00,569140254.00,938640464.00
1-Mar-22,The Batman,200000000.00,369345583.00,398217353.00,767562936.00
8-Jul-16,The Secret Life of Pets,75000000.00,368384330.00,516918170.00,885302500.00
3-Jul-13,Despicable Me 2,76000000.00,368065385.00,607151450.00,975216835.00
15-Apr-16,The Jungle Book,175000000.00,364001123.00,589534698.00,953535821.00
12-Feb-16,Deadpool,58000000.00,363070709.00,418876982.00,781947691.00
19-Jun-15,Inside Out,175000000.00,356461711.00,496575508.00,853037219.00
24-May-19,Aladdin,182000000.00,355559216.00,691028297.00,1046587513.00
3-Apr-15,Furious 7,190000000.00,353007020.00,1161546466.00,1514553486.00
29-Jun-11,Transformers: Dark of the Moon,195000000.00,352390543.00,771403536.00,1123794079.00
25-Dec-14,American Sniper,58000000.00,350126372.00,197200000.00,547326372.00
8-Jul-22,Thor: Love and Thunder,250000000.00,343256830.00,401990020.00,745246850.00
18-Dec-02,The Lord of the Rings: The Two Towers,94000000.00,342548984.00,576599780.00,919148764.00
4-Mar-16,Zootopia,150000000.00,341268248.00,663361687.00,1004629935.00
21-Nov-14,The Hunger Games: Mockingjay - Part 1,125000000.00,337135885.00,429439246.00,766575131.00
4-May-07,Spider-Man 3,258000000.00,336530303.00,558329927.00,894860230.00
10-Jul-15,Minions,74000000.00,336045770.00,821225989.00,1157271759.00
4-Oct-19,Joker,55000000.00,335451311.00,733670272.00,1069121583.00
21-Dec-18,Aquaman,160000000.00,335061807.00,808696893.00,1143758700.00
7-Jul-17,Spider-Man: Homecoming,175000000.00,334201140.00,544070151.00,878271291.00
5-Mar-10,Alice in Wonderland,200000000.00,334191110.00,691300000.00,1025491110.00
1-Aug-14,Guardians of the Galaxy,170000000.00,333714112.00,437168283.00,770882395.00
25-Mar-16,Batman v Superman: Dawn of Justice,263000000.00,330360194.00,542034897.00,872395091.00
6-Jul-94,Forrest Gump,55000000.00,330151138.00,349683999.00,679835137.00
8-Sep-17,It,35000000.00,328828874.00,372183872.00,701012746.00
5-Aug-16,Suicide Squad,175000000.00,325100054.00,420644926.00,745744980.00
18-May-18,Deadpool 2,110000000.00,324591735.00,461770635.00,786362370.00
17-May-07,Shrek the Third,160000000.00,322719944.00,484610992.00,807330936.00
2-Jul-07,Transformers,151000000.00,319246193.00,389026399.00,708272592.00
2-May-08,Iron Man,186000000.00,318604126.00,266567421.00,585171547.00
16-Nov-01,Harry Potter and the Sorcerer’s Stone,125000000.00,317871467.00,647172027.00,965043494.00
22-May-08,Indiana Jones and the Kingdom of the …,185000000.00,317101119.00,469534294.00,786635413.00
13-Dec-19,Jumanji: The Next Level,125000000.00,316831246.00,481378969.00,798210215.00
19-Dec-01,The Lord of the Rings: The Fellowship…,93000000.00,315544750.00,575672074.00,891216824.00
3-Nov-17,Thor: Ragnarok,180000000.00,315058289.00,535424489.00,850482778.00
7-May-10,Iron Man 2,170000000.00,312433331.00,308723058.00,621156389.00
16-May-02,Star Wars Ep. II: Attack of the Clones,115000000.00,310676740.00,346018875.00,656695615.00
24-May-07,Pirates of the Caribbean: At World’…,300000000.00,309420425.00,651576067.00,960996492.00
25-May-83,Star Wars Ep. VI: Return of the Jedi,32500000.00,309205079.00,165900281.00,475105360.00
2-Jul-96,Independence Day,75000000.00,306169255.00,511231623.00,817400878.00
9-Jul-03,Pirates of the Caribbean: The Curse o…,140000000.00,305410819.00,348900000.00,654310819.00
8-Nov-12,Skyfall,200000000.00,304360277.00,806166704.00,1110526981.00
14-Dec-12,The Hobbit: An Unexpected Journey,200000000.00,303003568.00,711934977.00,1014938545.00
15-Jul-09,Harry Potter and the Half-Blood Prince,250000000.00,302089278.00,627321791.00,929411069.00
30-Jun-10,The Twilight Saga: Eclipse,68000000.00,300531751.00,405571077.00,706102828.00
20-Nov-09,The Twilight Saga: New Moon,50000000.00,296623634.00,390934093.00,687557727.00
19-Nov-10,Harry Potter and the Deathly Hallows:…,125000000.00,296131568.00,655636137.00,951767705.00
6-Aug-99,The Sixth Sense,40000000.00,293506292.00,379300000.00,672806292.00
